Title
?
3:10 to Yuma
5 Centimetres Per Second
8 Women
12 Angry Men
21 Grams
24 Hour Party People
28 Days Later
30 Days of Night
The 40 Year Old Virgin
50 First Dates
1984
2001: A Space Odyssey
2046
Adam's Rib
Adaptation
The Addiction
"Aguirre, The Wrath of God"
A.I. Artificial Intelligence
Airplane!
Akira
Alexander
Alexander Nevsky
Alice in Wonderland
Alien
Aliens
Alien3
All About Eve
All About My Mother
All That Jazz
Amadeus
Amelie
American Beauty
American Gangster
American History X
American Psycho
Amores Perros
An American Werewolf in London
Anchorman: The Legend of Ron Burgundy
Andrei Rublev
Angel-A
Animal House
Animal Kingdom
Annie Hall
Another Earth
Aparajito
Apocalypse Now
Apocalypto
L�Appartement a.k.a. The Apartment
Apt Pupil
Arthur
The Artist
The Assassination of Richard Nixon
Assault on Precinct 13
Ashes and Diamonds
The Assassination of Jesse James by the Coward Robert Ford
Attack the Block
Audition
Austin Powers: International Man of Mystery
Austin Powers: The Spy Who Shagged Me
Autumn Sonata
The Aviator
The Awakening
The Baader Meinhof Complex
Babel
Back to the Future
Badlands
Bad Lieutenant
Bad Lieutenant: Port of Call New Orleans
Barefoot Gen
Barry Lyndon
Basil the Great Mouse Detective
Batman
Batman: Gotham Knight
The Battle of the River Plate
Battle Royale
The Beach
Beauty and the Beast
Beetlejuice
The Beguiled
Being John Malkovich
Belleville Rendez-Vous
Beverly Hills Cop
Bicycle Thieves
The Big Lebowski
Big Trouble in Little China
Bill & Ted�s Excellent Adventure
Bill & Ted�s Bogus Journey
Billy Liar
Black Book
Black Snake Moan
Blade Runner: The Director�s Cut
Blood: The Last Vampire
The Blues Brothers
Blue Valentine
Bonnie and Clyde
Das Boot
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
The Bourne Identity
Bowling for Columbine
Brazil
The Breakfast Club
Brick
The Bridge On the River Kwai
Brokeback Mountain
Brotherhood of the Wolf
Buffalo �66
Buffalo Soldiers
Buffy the Vampire Slayer
A Bug�s Life
The �Burbs
Butch Cassidy and the Sundance Kid
The Butterfly Effect
Caligula
Cape Fear
Captains Courageous
Capote
Capturing the Friedmans
Carlito�s Way
Carrie
Casualties of War
Catch 22
Casablanca
Casino Royale
Cat Soup
The Cell
Changeling
Chariots of Fire
Chicago
Chinatown
A Christmas Story
Chronicle
Chungking Express
Citizen Kane
City of God
The City of Lost Children
Clash of the Titans
Clerks
Clerks II
A Clockwork Orange
Close Encounters of the Third Kind
Closer
Clueless
Cobra Verde
Cocoon
Confessions of a Dangerous Mind
Contact
Control
The Cooler
Cool Hand Luke
Coriolanus
The Cotton Club
The Craft
Crazy Heart
Cries and Whispers
Crimes and Misdemeanors
Cronos
Crouching Tiger Hidden Dragon
The Crucible
Cruel Intentions
Cube
Cypher
Dances With Wolves
The Darjeeling Limited
The Dark Knight
Dawn of the Dead (1978)
Dawn of the Dead (2004)
Day Watch
The Day the Earth Stood Still
Days of Heaven
Dazed and Confused
Dead Leaves
Dead Man�s Shoes
Dead Ringers
The Deer Hunter
Deliverance
Demolition Man
Departures
The Descent
Desperado
The Devil�s Backbone
The Dirty Dozen
Dirty Harry
Dirty Rotten Scoundrels
District 9
The Diving Bell and the Butterfly
DOA: Dead or Alive
Dodgeball
Dog Day Afternoon
Dogma
Dog Soldiers
Dogtooth
Dogville
Donnie Darko
Don�t Look Now
Dorian Gray
Doubt
Downfall
Drag Me to Hell
The Dreamers
Dreamgirls
Drop Dead Gorgeous
Dr. Strangelove: Or How I Learned To Stop Worrying and Love the Bomb
Duel
Dumb and Dumber
Eastern Promises
Edward Scissorhands
Election
Elephant
The Elephant Man
The Emperor�s New Groove
Enchanted
Enemy at the Gates
The English Patient
Escape From New York
Eternal Sunshine of the spotless mind
Europa Europa
Event Horizon
Evil Dead
Evil Dead 2: Dead By Dawn
Excalibur
eXistenZ
Eyes Wide Shut
The Faculty
Fahrenheit 9/11
The Fall
Fallen
Falling Down
Fantasia
Fargo
Fast Times at Ridgemont High
The Fearless Vampire Killers
Ferris Bueller�s Day Off
The Fifth Element
Fight Club
Fish Tank
Fitzcarraldo
Flags of Our Fathers
Flash Gordon
The Fly
Forgetting Sarah Marshall
The Fountain
The French Connection
The French Connection II
From Russia With Love
Frost/Nixon
Full Metal Jacket
Funny Games
Gattaca
Ghostbusters
Ghostbusters II
Ghost Dog: The Way of the Samurai
Ghost in the Shell
Ghost World
The Gift
"Girl, Interrupted"
The Girl with the Dragon Tattoo (2009)
The Girl with the Dragon Tattoo (2011)
Gladiator
Glastonbury
The Godfather
The Godfather Part II
The Godfather Part III
The Golden Child
Goldeneye
Goldfinger
Gold Rush
Gone Baby Gone
Goodbye Lenin!
Good Morning Vietnam
The Goonies
Gosford Park
The Graduate
Gran Torino
